uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
82,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.64724398839788,82,True
95,Fc1cc(-c2cc(F)c(-c3ccnc(F)c3F)c(F)c2)c(F)cn1,Fc1ccc(F)nc1.Fc1cccnc1F,Fc1cccc(F)c1,3,13,48.939814204777,95,True
103,Fc1cc(-c2c(F)cncc2F)c(F)cc1-c1ccnc(F)c1F,Fc1cccnc1F.Fc1cncc(F)c1,Fc1ccc(F)cc1,7,13,49.6610711158604,103,True
0,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)c(F)c1,O=C([O-])c1c(F)cccc1F.O=C([O-])c1cccc(F)c1,Fc1ccc(F)cc1,7,17,56.29540166292943,0,True
10,Cc1cc(-c2cc(C(=O)[O-])c(C)c(C(=O)[O-])c2)c(C)c(C)c1-c1cc(C(=O)[O-])c(C)c(C(=O)[O-])c1,Cc1c(C(=O)[O-])cccc1C(=O)[O-].Cc1c(C(=O)[O-])cccc1C(=O)[O-],Cc1ccc(C)c(C)c1,7,20,99.33485412798228,10,True
21,Cc1cc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)cc(C)c1-c1cc(C(=O)[O-])c(C)c(C(=O)[O-])c1C,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1ccc(C(=O)[O-])c(C)c1C(=O)[O-],Cc1cccc(C)c1,13,21,105.58534426586732,21,True
35,CCc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])c(CC)c2CC)nn1,CCc1cccc(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1CC,c1nncnn1,9,23,72.42581652461466,35,True
49,O=C([O-])c1cc(F)c(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1nncnn1,7,19,50.55200903434571,49,True
55,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2F)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1cc(F)cc(F)c1F,Fc1ccccc1,7,19,56.625466013761965,55,True
64,O=C([O-])c1ccc(-c2ccc(-c3c(F)cc(C(=O)[O-])cc3F)c(F)c2)cc1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1ccccc1,Fc1ccccc1,7,17,53.59743810494154,64,True
74,O=C([O-])c1ccc(C(F)=Cc2cc(F)c(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,7,18,43.75234051358011,74,True
84,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192839884875114,84,True
0,Cc1cc(-c2c(C)c(C(=O)[O-])c(C)c(C(=O)[O-])c2C)c(C)c(C)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Cc1cc(C)c(C(=O)[O-])c(C)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Cc1ccc(C)c(C)c1,8,25,103.73664005165872,0,True
12,Cc1cc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)c(C)c(C)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Cc1ccc(C)c(C)c1,13,24,91.90808528424752,12,True
26,Cc1cc(-c2cc(C(=O)[O-])c(C)c(C(=O)[O-])c2)cc(C)c1-c1c(C)c(C(=O)[O-])c(C)c(C(=O)[O-])c1C,Cc1c(C(=O)[O-])cccc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])c(C)c1C(=O)[O-],Cc1cccc(C)c1,8,22,107.1343662050636,26,True
39,Cc1cc(-c2c(C)c(C(=O)[O-])cc(C(=O)[O-])c2C)ccc1-c1c(C)c(C(=O)[O-])cc(C(=O)[O-])c1C,Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-].Cc1cc(C)c(C(=O)[O-])cc1C(=O)[O-],Cc1ccccc1,13,27,100.41580627470265,39,True
52,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,Fc1ccccc1,7,19,57.86124479608631,52,True
62,O=C([O-])c1ccc(-c2ccc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1ccccc1F,8,19,58.13661200275247,62,True
72,c1cc(-c2ccc(-c3ccncc3)cc2)ccn1,c1ccncc1.c1ccncc1,c1ccccc1,2,8,45.30401032163179,72,True
76,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.0350852240807225,76,True
83,CCc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])cc2CC)nn1,CCc1cccc(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,21,57.89296128433113,83,True
0,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.76181453750684,0,True
11,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.46958800097165,11,True
29,Nc1c(C(=O)[O-])cc(-c2c(N)c(N)c(-c3c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c3N)c(N)c2N)cc1C(=O)[O-],Nc1c(C(=O)[O-])cccc1C(=O)[O-].Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-],Nc1cc(N)c(N)cc1N,8,22,116.64417182904616,29,True
40,Nc1cc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)ccc1-c1c(N)c(C(=O)[O-])cc(C(=O)[O-])c1N,Nc1cc(N)c(C(=O)[O-])cc1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccccc1,13,24,77.49477753538262,40,True
56,Nc1cc(-c2c(N)c(C(=O)[O-])cc(C(=O)[O-])c2N)ccc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])cc1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccccc1,13,24,79.36752910982791,56,True
68,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1N,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].Nc1ccc(C(=O)[O-])cc1C(=O)[O-],Nc1ccc(N)cc1,12,20,91.92397096985684,68,True
83,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)c(F)c1,6,17,57.89343778177462,83,True
97,Fc1cnccc1-c1ccc(-c2c(F)cnc(F)c2F)c(F)c1,Fc1cccnc1.Fc1cnc(F)c(F)c1,Fc1ccccc1,8,15,48.88048160319353,97,True
104,O=C([O-])C#CC=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CF,4,9,0.3011256722411305,104,True
0,CCC(=Cc1ccncc1)c1ccnc(CC)c1,CCc1ccccn1.c1ccncc1,C=CCC,4,10,40.24577246306333,0,True
12,N#CC(=Cc1ccc(C(=O)[O-])cc1C#N)c1ccc(C(=O)[O-])c(C#N)c1,N#Cc1cccc(C(=O)[O-])c1.N#Cc1ccccc1C(=O)[O-],C=CC#N,10,15,48.262124322003295,12,True
25,O=C([O-])c1cc(C(=O)[O-])cc(-c2c(F)c(F)c(-c3cc(C(=O)[O-])cc(C(=O)[O-])c3F)c(F)c2F)c1,O=C([O-])c1ccc(F)c(C(=O)[O-])c1.O=C([O-])c1cccc(C(=O)[O-])c1,Fc1cc(F)c(F)cc1F,11,23,62.28582690419853,25,True
40,O=C([O-])c1cc(-c2cc(F)c(-c3cc(C(=O)[O-])c(F)c(C(=O)[O-])c3F)c(F)c2F)cc(C(=O)[O-])c1F,O=C([O-])c1ccc(F)c(C(=O)[O-])c1F.O=C([O-])c1cccc(C(=O)[O-])c1F,Fc1ccc(F)c(F)c1,5,18,66.68390196737772,40,True
58,O=C([O-])c1cc(-c2cc(F)c(-c3cc(C(=O)[O-])c(F)c(C(=O)[O-])c3F)c(F)c2F)c(F)c(C(=O)[O-])c1F,O=C([O-])c1ccc(F)c(C(=O)[O-])c1F.O=C([O-])c1ccc(F)c(C(=O)[O-])c1F,Fc1ccc(F)c(F)c1,5,19,68.94141940010222,58,True
