uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.76181453750684
1,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.76818092193793
2,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.76897037203558
3,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.77464695941302
4,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.77636061409144
5,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.78347616575488
6,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.78405570315158
7,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.8565702048395
8,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.96013300651285
9,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.97413372061752
10,Nc1cc(-c2c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)c(N)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)c(N)c1,8,25,97.97790614894934
11,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.46958800097165
12,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.5277303289374
13,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.53091516937727
14,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.5319229162817
15,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.5350819540227
16,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.53713389033561
17,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.53796716027776
18,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.55040373432743
19,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.55448426369836
20,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.6088078402299
21,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.61287424662768
22,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.67861813301496
23,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.6803105852885
24,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.76278480736275
25,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.86696399745679
26,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.86725080437111
27,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.86825854387757
28,Nc1cc(-c2cc(C(=O)[O-])c(N)c(C(=O)[O-])c2N)c(N)cc1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Nc1ccc(C(=O)[O-])c(N)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Nc1ccc(N)cc1,7,24,83.91589103876099
29,Nc1c(C(=O)[O-])cc(-c2c(N)c(N)c(-c3c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c3N)c(N)c2N)cc1C(=O)[O-],Nc1c(C(=O)[O-])cccc1C(=O)[O-].Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-],Nc1cc(N)c(N)cc1N,8,22,116.64417182904617
30,Nc1c(C(=O)[O-])cc(-c2c(N)c(N)c(-c3c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c3N)c(N)c2N)cc1C(=O)[O-],Nc1c(C(=O)[O-])cccc1C(=O)[O-].Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-],Nc1cc(N)c(N)cc1N,8,22,116.72446974178702
31,Nc1c(C(=O)[O-])cc(-c2c(N)c(N)c(-c3c(N)c(C(=O)[O-])c(N)c(C(=O)[O-])c3N)c(N)c2N)cc1C(=O)[O-],Nc1c(C(=O)[O-])cccc1C(=O)[O-].Nc1cc(N)c(C(=O)[O-])c(N)c1C(=O)[O-],Nc1cc(N)c(N)cc1N,8,22,116.73394932439805
