uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.4206157315572
1,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.420615741016185
2,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.42061574358286
3,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.42062294499823
4,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.420622959071686
5,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.42062320000041
6,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.48707318084723
7,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.487073196355915
8,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.487073225118436
9,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.48707324276529
10,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,65.88166533051947
11,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,65.93222517182927
12,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,66.07575350231163
13,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,66.09703223586182
14,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,66.63536884150017
15,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,66.69032934262987
16,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,66.74091807521242
17,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,66.84875470559844
18,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,66.87101800234673
19,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,66.87264537177
20,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,67.22920861413023
21,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,68.24801337056856
22,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1,c1nncnn1,10,15,68.7641514989192
23,O=C([O-])c1cc(C(=O)[O-])cc(-c2c(F)cc(-c3c(F)c(C(=O)[O-])c(F)c(C(=O)[O-])c3F)cc2F)c1,O=C([O-])c1c(F)cc(F)c(C(=O)[O-])c1F.O=C([O-])c1cccc(C(=O)[O-])c1,Fc1cccc(F)c1,12,25,65.78721053863535
