uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,Cc1cc(C(=O)[O-])ccc1-c1c(C)c(C)c(-c2ccc(C(=O)[O-])c(C)c2C)c(C)c1C,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,Cc1cc(C)c(C)cc1C,8,20,92.95794062143875
1,Cc1cc(C(=O)[O-])ccc1-c1c(C)c(C)c(-c2ccc(C(=O)[O-])c(C)c2C)c(C)c1C,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,Cc1cc(C)c(C)cc1C,8,20,92.95981345676543
2,Cc1cc(C(=O)[O-])ccc1-c1c(C)c(C)c(-c2ccc(C(=O)[O-])c(C)c2C)c(C)c1C,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,Cc1cc(C)c(C)cc1C,8,20,93.23998947346236
3,Cc1cc(C(=O)[O-])ccc1-c1c(C)c(C)c(-c2ccc(C(=O)[O-])c(C)c2C)c(C)c1C,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,Cc1cc(C)c(C)cc1C,8,20,93.29411310162195
4,Cc1cc(C(=O)[O-])ccc1-c1c(C)c(C)c(-c2ccc(C(=O)[O-])c(C)c2C)c(C)c1C,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,Cc1cc(C)c(C)cc1C,8,20,93.35987389116306
5,Cc1cc(C(=O)[O-])ccc1-c1c(C)c(C)c(-c2ccc(C(=O)[O-])c(C)c2C)c(C)c1C,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,Cc1cc(C)c(C)cc1C,8,20,93.73183934243798
6,Cc1cc(C(=O)[O-])ccc1-c1c(C)c(C)c(-c2ccc(C(=O)[O-])c(C)c2C)c(C)c1C,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,Cc1cc(C)c(C)cc1C,8,20,93.76899298898945
7,Cc1cc(C(=O)[O-])ccc1-c1c(C)c(C)c(-c2ccc(C(=O)[O-])c(C)c2C)c(C)c1C,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,Cc1cc(C)c(C)cc1C,8,20,93.83806800734308
8,Cc1cc(-c2ccc(-c3c(C)c(C)nc(C)c3C)c(C)c2C)c(C)c(C)n1,Cc1cc(C)c(C)nc1C.Cc1ccc(C)c(C)n1,Cc1ccccc1C,3,16,80.35562435256793
9,Cc1cc(-c2ccc(-c3c(C)c(C)nc(C)c3C)c(C)c2C)c(C)c(C)n1,Cc1cc(C)c(C)nc1C.Cc1ccc(C)c(C)n1,Cc1ccccc1C,3,16,80.35573294627419
10,Cc1cc(-c2ccc(-c3c(C)c(C)nc(C)c3C)c(C)c2C)c(C)c(C)n1,Cc1cc(C)c(C)nc1C.Cc1ccc(C)c(C)n1,Cc1ccccc1C,3,16,80.39187505955175
11,Cc1cc(-c2ccc(-c3c(C)c(C)nc(C)c3C)c(C)c2C)c(C)c(C)n1,Cc1cc(C)c(C)nc1C.Cc1ccc(C)c(C)n1,Cc1ccccc1C,3,16,80.3918750825684
