uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,93.90908674556793
1,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,93.91564887943315
2,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,93.9156520849587
3,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,93.91565233670666
4,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,93.9157595679682
5,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,93.91707353626349
6,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,93.91869728332759
7,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,94.02270948026533
8,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,94.07121998634555
9,N#Cc1cc(-c2c(C#N)c(C(=O)[O-])c(C#N)c(C(=O)[O-])c2C#N)cc(C#N)c1-c1c(C#N)c(C(=O)[O-])cc(C(=O)[O-])c1C#N,N#Cc1cc(C#N)c(C(=O)[O-])c(C#N)c1C(=O)[O-].N#Cc1cc(C#N)c(C(=O)[O-])cc1C(=O)[O-],N#Cc1cccc(C#N)c1,10,33,94.07122016353344
