uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,Fc1cc(-c2cc(F)c(-c3c(F)cnc(F)c3F)c(F)c2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,Fc1cccc(F)c1,3,17,49.625075230689355
1,Fc1cc(-c2cc(F)c(-c3c(F)cnc(F)c3F)c(F)c2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,Fc1cccc(F)c1,3,17,49.62507523704415
2,Fc1cc(-c2cc(F)c(-c3c(F)cnc(F)c3F)c(F)c2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,Fc1cccc(F)c1,3,17,49.62507524792037
3,Fc1cc(-c2cc(F)c(-c3c(F)cnc(F)c3F)c(F)c2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,Fc1cccc(F)c1,3,17,49.625075258558866
4,Fc1cc(-c2cc(F)c(-c3c(F)cnc(F)c3F)c(F)c2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,Fc1cccc(F)c1,3,17,49.62509831474354
5,Fc1cc(-c2cc(F)c(-c3c(F)cnc(F)c3F)c(F)c2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,Fc1cccc(F)c1,3,17,49.625098353819475
6,Fc1cc(-c2cc(F)c(-c3c(F)cnc(F)c3F)c(F)c2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,Fc1cccc(F)c1,3,17,49.6250983829371
7,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.82978058930064
8,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.82978059702131
9,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.83203253886158
10,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.832032557467976
11,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.91284666526892
12,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,43.21531328394916
13,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,43.261130511176006
14,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,43.26223872826363
15,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,43.34398043395055
16,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,43.905845296734604
17,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,43.908245027998454
18,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,45.462310259744335
19,CCc1cc(-c2nnc(-c3cc(CC)c(C(=O)[O-])c(CC)c3CC)nn2)ccc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1CC.CCc1ccccc1C(=O)[O-],c1nncnn1,4,19,78.78621891445897
